"","Zip_Code","City","State","Pop","Minority","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","Distress_Score","Rank"
"1","Z04270","Oxford","ME",-2,2.4,0,0,0,0,0,0,0,14569.6,-1658.2857142857
"2","Z07828","Budd Lake","NJ",4,32.2,0,0,0,0,0,0,0,1972.8,3441.14285714286
"3","Z08030","Gloucester City","NJ",0,22.2,0,0,0,0,0,0,0,20250.3,-4204.4285714286
"4","Z08087","Tuckerton","NJ",4,9.4,0,0,0,0,0,0,0,9639.4,723.714285714301
"5","Z10507","Bedford Hills","NY",4,43.8,0,0,0,0,0,0,0,16093.4,-2369
"6","Z11375","Forest Hills","NY",3,45.6,0,0,0,0,0,0,0,3207.8,3154.14285714286
"7","Z12173","Stuyvesant","NY",-5,6.9,0,0,0,0,0,0,0,10839.7,211.5714285714
"8","Z14086","Lancaster","NY",4,4.3,0,0,0,0,0,0,0,2382.2,3394.28571428571
"9","Z14478","Keuka Park","NY",-2,11.2,0,0,0,0,0,0,0,1392.3,3464.42857142857
"10","Z14728","Dewittville","NY",-2,0.3,0,0,0,0,0,0,0,15045.3,-2002.5714285714
"11","Z15825","Brookville","PA",4,3.3,0,0,0,0,0,0,0,12798.9,-731.857142857099
"12","Z16056","Saxonburg","PA",-1,1.9,0,0,0,0,0,0,0,9026.6,923.142857142901
"13","Z16679","Six Mile Run","PA",-3,0.4,0,0,0,0,0,0,0,20021.3,-4106.8571428571
"14","Z16686","Tyrone","PA",3,2.1,0,0,0,0,0,0,0,10612.4,272.857142857099
"15","Z17036","Hummelstown","PA",2,16.4,0,0,0,0,0,0,0,2384.1,3379.42857142857
"16","Z17527","Gap","PA",0,5.3,0,0,0,0,0,0,0,9550.4,661.142857142901
"17","Z18655","Shickshinny","PA",1,1.9,0,0,0,0,0,0,0,15863.5,-2210.5714285714
"18","Z18840","Sayre","PA",-3,2.8,0,0,0,0,0,0,0,11181.1,2.42857142859975
"19","Z19063","Media","PA",-1,14.1,0,0,0,0,0,0,0,3030.5,3202.28571428571
"20","Z19960","Lincoln","DE",3,41.2,0,0,0,0,0,0,0,20446.4,-4290
"21","Z20715","Bowie","MD",-3,44.3,0,0,0.100000000000001,0,0,0,0,1014.7,3354.28571428571
"22","Z20877","Gaithersburg","MD",4,73,0,0,0,0,0,0,0,13493.5,-1204.5714285714
"23","Z21120","Parkton","MD",-3,5.8,0,0,-0.0999999999999979,0,0,0,0,1205.9,3394
"24","Z21795","Williamsport","MD",1,5.8,0,0,0,0,0,0,0,7670.1,1540.28571428571
"25","Z23038","Columbia","VA",-1,37.8,0,0,0,0,0,0,0,22223,-4732.8571428571
"26","Z23093","Louisa","VA",4,26.3,0,0,0,0,0,0,0,17174,-2857.1428571429
"27","Z25043","Clay","WV",3,1.5,0,0,0,0,0,0,0,23879,-4394.2857142857
"28","Z25443","Shepherdstown","WV",2,13.7,0,0,0,0,0,0,0,8113.6,1422.57142857143
"29","Z27018","East Bend","NC",-2,12.9,0,0,0,0,0,0,0,20016.6,-4042
"30","Z28398","Warsaw","NC",-1,66.3,0,0,0,0,0,0,0,22829.4,-4709
"31","Z28433","Clarkton","NC",-5,52,0,0,0,0,0,0,0,20727.2,-4371.7142857143
"32","Z28771","Robbinsville","NC",-2,12.8,0,0,0.100000000000001,0,0,0,0,22693.9,-4762.5714285714
"33","Z30040","Cumming","GA",-3,21.9,0,0,0,0,0,0,0,3463.8,3106.71428571429
"34","Z30306","Atlanta","GA",-1,15.2,0,0,0.100000000000001,0,0,0,0,2763.5,3276.85714285714
"35","Z30646","Hull","GA",2,20.6,0,0,0,0,0,0,0,16591.2,-2654
"36","Z30660","Rayle","GA",4,40.1,0,0,0,0,0,0,0,22097.3,-4780.4285714286
"37","Z31824","Preston","GA",-4,58.2,0,0,0,0,0,0,0,17112.9,-2914.8571428571
"38","Z32305","Tallahassee","FL",-4,64.2,0,0,0,0,0,0,0,21158.5,-4479.2857142857
"39","Z33025","Hollywood","FL",4,88.5,0,0,0,0,0,0,0,4414.9,2743.28571428571
"40","Z33134","Miami","FL",0,79.6,0,0,0,0,0,0,0,6268.7,2133.57142857143
"41","Z33145","Miami","FL",2,89.6,0,0,0,0,0,0,0,13259.5,-1088.7142857143
"42","Z33442","Deerfield Beach","FL",-3,28.3,0,0,0,0,0,0,0,7864.4,1470.57142857143
"43","Z33541","Zephyrhills","FL",-3,16.7,0,0,0,0,0,0,0,19795.1,-4062.7142857143
"44","Z33762","Clearwater","FL",-2,27,0,0,-0.100000000000001,0,0,0,0,12773.7,-787.857142857099
"45","Z35553","Double Springs","AL",4,4.5,0,0,0.100000000000001,0,0,0,0,22792.5,-4739.4285714286
"46","Z35563","Guin","AL",3,5.9,0,0,0,0,0,0,0,22404.2,-4764.7142857143
"47","Z36451","Grove Hill","AL",-4,40.6,0,0,0,0,0,0,0,21388.3,-4607.8571428571
"48","Z38114","Memphis","TN",2,94.8,0,0,0,0,0,0,0,24210.5,-3991.8571428571
"49","Z39071","Flora","MS",-4,49.6,0,0,0,0,0,0,0,14093.1,-1503.7142857143
"50","Z42050","Hickman","KY",3,31.8,0,0,0,0,0,0,0,24510.2,-2809.1428571429
"51","Z42129","Edmonton","KY",0,3.5,0,0,0,0,0,0,0,22612.9,-4574.2857142857
"52","Z43450","Pemberville","OH",3,8.5,0,0,0,0,0,0,0,9223.9,872.142857142901
"53","Z45123","Greenfield","OH",-2,3.3,0,0,0,0,0,0,0,20067.1,-4126.5714285714
"54","Z45157","New Richmond","OH",4,2.5,0,0,0,0,0,0,0,18647.8,-3590
"55","Z45212","Cincinnati","OH",-1,19.6,0,0,0,0,0,0,0,15257.6,-2037.7142857143
"56","Z46163","New Palestine","IN",1,2.6,0,0,0,0,0,0,0,300.7,2725.14285714286
"57","Z46203","Indianapolis","IN",-3,27.2,0,0,0,0,0,0,0,21176.9,-4598
"58","Z47118","English","IN",-5,3.2,0,0,0,0,0,0,0,16645.8,-2715.5714285714
"59","Z47598","Winslow","IN",1,0.9,0,0,0,0,0,0,0,19428.7,-3887.8571428571
"60","Z47862","Montezuma","IN",2,4.2,0,0,0,0,0,0,0,17129.1,-2871.8571428571
"61","Z48187","Canton","MI",-4,27,0,0,0.0999999999999979,0,0,0,0,1631.2,3458.71428571429
"62","Z49006","Kalamazoo","MI",0,27.5,0,0,0,0,0,0,0,12679.7,-854.285714285699
"63","Z52206","Atkins","IA",-2,5.5,0,0,-0.0999999999999996,0,0,0,-0.0999999999999996,2123,3383.14285714286
"64","Z54491","White Lake","WI",1,3.7,0,0,0,0,0,0,0,16275.8,-2414.5714285714
"65","Z54772","Wheeler","WI",3,4.3,0,0,0,0,0,0,0,20004.4,-4083.1428571429
"66","Z54937","Fond Du Lac","WI",2,8.8,0,0,0,0,0,0,0,1546.6,3457.42857142857
"67","Z56072","New Richland","MN",-2,6,0,0,0,0,0,0,0,11344.7,-13.4285714285998
"68","Z57105","Sioux Falls","SD",0,13.1,0,0,0,0,0,0,0,4538.4,2704.71428571429
"69","Z57401","Aberdeen","SD",3,11.3,0,0,0,0,0,0,0,8048.8,1421.42857142857
"70","Z60458","Justice","IL",-1,42.1,0,0,0,0,0,0,0,15509.7,-2108.7142857143
"71","Z60479","Verona","IL",-3,10,0,0,0,0,0,0,0,13994.8,-1381.7142857143
"72","Z60639","Chicago","IL",-1,93.3,0,0,0,0,0,0,0,21049.6,-4519.4285714286
"73","Z61449","La Fayette","IL",3,1.4,0,0,0,0,0,0,0,20601.6,-4370.5714285714
"74","Z61744","Gridley","IL",-5,3.6,0,0,0,0,0,0,0,8146.1,1306.42857142857
"75","Z62056","Litchfield","IL",2,2.2,0,0,0,0,0,0,0,19131,-3760.7142857143
"76","Z62835","Enfield","IL",0,0.4,0,0,0,0,0,0,0,22438.1,-4739.5714285714
"77","Z62969","Olive Branch","IL",3,0,0,0,0,0,0,0,0,20595.8,-4321.2857142857
"78","Z66548","Waterville","KS",0,7.5,0,0,0,0,0,0,0,10087.5,492.857142857099
"79","Z67137","Severy","KS",-2,9.7,0,0,0,0,0,0,0.0999999999999996,21907.5,-4654.8571428571
"80","Z67838","Deerfield","KS",2,47.2,0,0,-0.100000000000001,0,0,0,0,14996.7,-1932.2857142857
"81","Z68666","Stromsburg","NE",-1,5,0,0,0,0,0,0,0,2831.3,3275
"82","Z70529","Duson","LA",4,23.4,0,0,0,0,0,0,0,10741.9,194.857142857099
"83","Z71049","Logansport","LA",-3,30.4,0,0,0,0,0,0,0,18000.4,-3314.8571428571
"84","Z73560","Olustee","OK",-1,38,0,0,0,0,0,0,0,19919.8,-4049.2857142857
"85","Z73852","Mooreland","OK",3,6.9,0,0,0,0,0,0,0,13428.2,-1068.4285714286
"86","Z74021","Collinsville","OK",-2,24.4,0,0,0,0,0,0,0,1953,3479.85714285714
"87","Z74878","Wanette","OK",4,12.7,0,0,0,0,0,0,0,19585,-3714.8571428571
"88","Z75418","Bonham","TX",-4,25.8,0,0,0,0,0,0,0,20701.3,-4352
"89","Z75490","Trenton","TX",-5,15.6,0,0,0,0,0,0,0,17659.1,-3085.5714285714
"90","Z76437","Cisco","TX",4,15.6,0,0,0,0,0,0,0,23835.3,-4386.8571428571
"91","Z77022","Houston","TX",0,94.9,0,0,0,0,0,0,0,21983.8,-4733.5714285714
"92","Z78212","San Antonio","TX",-2,67.3,0,0,-0.0999999999999979,0,0,0,0,19576.1,-3940.4285714286
"93","Z78219","San Antonio","TX",2,80.1,0,0,-0.100000000000001,0,0,0,0,18547.4,-3507.4285714286
"94","Z78615","Coupland","TX",-5,27.8,0,0,0,0,0,0,0,21595.7,-4596.2857142857
"95","Z79007","Borger","TX",4,36.9,0,0,0,0,0,0,0,18070.5,-3253.7142857143
"96","Z81005","Pueblo","CO",-3,47.5,0,0,0,0,0,0,0,12878.6,-757.857142857099
"97","Z81504","Grand Junction","CO",-5,17.4,0,0,0,0,0,0,0,13260.9,-982.4285714286
"98","Z81650","Rifle","CO",4,28.6,0,0,0,0,0,0,0,20378.9,-4213.4285714286
"99","Z82433","Meeteetse","WY",2,11.6,0,0,0,0,0,0,0,11441.9,-144.4285714286
"100","Z83654","New Meadows","ID",0,12.5,0,0,0.100000000000001,0,0,0,0,12956.8,-920.285714285699
"101","Z84025","Farmington","UT",-3,7.4,0,0,0,0,0,0,0,83.6,1897.71428571429
"102","Z84305","Clarkston","UT",-5,6.3,0,0,0,0,0,0,0,790.6,3308
"103","Z85003","Phoenix","AZ",-1,52.1,0,0,0,0,0,0,0,21949,-4722
"104","Z87511","Alcalde","NM",-3,96.3,0,0,0,0,0,0,0,19664.6,-4013.5714285714
"105","Z90023","Los Angeles","CA",-2,98,0,0,0,0,0,0,0,22156,-4790.4285714286
"106","Z91342","Sylmar","CA",-4,86.3,0,0,0,0,0,0,0,12626.3,-723.5714285714
"107","Z92071","Santee","CA",-2,28.8,0,0,0,0,0,0,0,2800.7,3334.57142857143
"108","Z93212","Corcoran","CA",0,80.7,0,0,0,0,0,0,0,21945.7,-4821.1428571429
"109","Z93465","Templeton","CA",-3,20.6,0,0,0,0,0,0,0,5758.8,2356.71428571429
"110","Z94022","Los Altos","CA",-2,34,0,0,0,0,0,0,0,722.9,3285.28571428571
"111","Z94513","Brentwood","CA",-1,44.2,0,0,0,0,0,0,0,1477,3481.28571428571
"112","Z95563","Salyer","CA",0,18.2,0,0,-0.100000000000001,0,0,0,0,11918.7,-468.857142857099
"113","Z97015","Clackamas","OR",-3,30.9,0,0,0,0,0,0,0,4417.2,2831.42857142857
"114","Z97371","Rickreall","OR",0,0,0,0,0,0,0,0,0,10820.5,157.4285714286
"115","Z97754","Prineville","OR",-3,11.9,0,0,0,0,0,0,0,18312.4,-3385
"116","Z98252","Granite Falls","WA",-1,14.2,0,0,0,0,0,0,0,5450.1,2490.85714285714
"117","Z99224","Spokane","WA",-1,16.4,0,0,0,0,0,0,0,6273.6,2113.14285714286
