Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z14616,12712,12032,680
Z14617,10105,9465,640
Z14618,8586,8224,362
Z14619,6337,5585,752
Z14620,12266,11483,783
Z14621,14707,12782,1925
Z14622,5838,5410,428
Z14623,9477,8924,553
Z14624,14473,14023,450
Z14625,4761,4404,357
Z14626,13316,12474,842
Z14627,0,0,0
Z14701,19198,16792,2406
Z14706,2854,2555,299
Z14707,111,96,15
Z14708,141,61,80
Z14709,989,595,394
Z14710,2116,1326,790
Z14711,1070,801,269
Z14712,2113,1479,634
Z14714,306,190,116
Z14715,1606,1130,476
Z14716,1026,902,124
Z14717,1018,282,736
Z14718,1011,877,134
Z14719,1854,1382,472
Z14720,434,363,71
Z14721,82,59,23
Z14722,1146,139,1007
Z14723,612,445,167
Z14724,1492,891,601
Z14726,758,590,168
Z14727,3424,2146,1278
Z14728,928,359,569
Z14729,437,359,78
Z14731,2648,678,1970
Z14732,67,52,15
Z14733,1857,1707,150
Z14735,1543,1179,364
Z14736,162,115,47
Z14737,2546,1731,815
Z14738,1937,1539,398
Z14739,1795,1173,622
Z14740,658,521,137
Z14741,1414,842,572
Z14742,81,81,0
Z14743,986,752,234
Z14744,536,430,106
Z14747,1019,932,87
Z14748,396,324,72
Z14750,2407,1927,480
Z14752,260,116,144
Z14753,583,454,129
Z14754,341,260,81
Z14755,1600,1212,388
Z14756,207,102,105
Z14757,2417,1383,1034
Z14760,9279,7953,1326
Z14767,760,696,64
Z14769,628,412,216
Z14770,1231,1133,98
Z14772,1686,1450,236
Z14774,69,69,0
Z14775,1200,958,242
Z14777,740,259,481
Z14778,0,0,0
Z14779,3223,2698,525
Z14781,827,720,107
Z14782,1125,903,222
Z14783,200,146,54
Z14784,474,313,161
Z14787,2628,2121,507
Z14788,110,110,0
Z14801,2516,2192,324
Z14802,508,393,115
Z14803,549,453,96
Z14804,928,614,314
Z14805,463,411,52
Z14806,1114,843,271
Z14807,1433,1219,214
Z14808,249,219,30
Z14809,1184,1042,142
Z14810,5920,5153,767
Z14812,1352,1184,168
Z14813,1374,1038,336
Z14814,707,707,0
Z14815,735,400,335
Z14816,163,163,0
Z14817,1068,987,81
Z14818,1030,825,205
Z14819,358,287,71
Z14820,393,306,87
Z14821,1381,1264,117
Z14822,746,485,261
Z14823,1939,1465,474
Z14824,249,225,24
Z14825,403,355,48
Z14826,1151,865,286
Z14827,73,58,15
Z14830,9392,8618,774
Z14836,533,393,140
Z14837,3075,2135,940
Z14838,892,833,59
Z14839,451,293,158
Z14840,2857,1422,1435
Z14841,617,376,241
Z14842,613,417,196
Z14843,6081,5432,649
Z14845,9307,8704,603
Z14846,456,336,120
Z14847,1279,1027,252
Z14850,26524,24182,2342
Z14853,0,0,0
Z14854,7,7,0
Z14855,378,289,89
Z14856,111,85,26
Z14858,711,645,66
Z14859,498,365,133
Z14860,869,526,343
Z14861,657,587,70
Z14864,561,494,67
Z14865,1312,1176,136
Z14867,2435,2298,137
Z14869,554,510,44
Z14870,4501,4261,240
Z14871,2196,2124,72
Z14872,307,307,0
Z14873,1736,1097,639
Z14874,223,115,108
Z14877,313,191,122
Z14878,408,252,156
Z14879,1061,954,107
Z14880,966,605,361
Z14881,130,130,0
Z14882,1907,1589,318
Z14883,1796,1510,286
Z14884,251,104,147
Z14885,466,303,163
Z14886,3274,2991,283
Z14889,705,646,59
Z14891,2165,1896,269
Z14892,3659,3343,316
Z14893,15,6,9
Z14894,642,562,80
Z14895,4999,4266,733
Z14897,442,370,72
Z14898,767,610,157
Z14901,6231,5477,754
Z14903,3402,3073,329
Z14904,7216,6493,723
Z14905,4213,3946,267
Z15001,15011,13046,1965
Z15003,6061,5218,843
Z15004,151,117,34
Z15005,4342,4091,251
Z15006,195,144,51
Z15007,119,119,0
Z15009,7003,6495,508
Z15010,12854,11225,1629
Z15012,7265,6466,799
Z15014,1524,1378,146
Z15015,515,496,19
Z15017,7730,7304,426
Z15018,350,292,58
Z15019,749,732,17
Z15020,140,128,12
Z15021,3423,3096,327
Z15022,5098,4307,791
Z15024,3970,3673,297
Z15025,7921,6886,1035
Z15026,1391,1289,102
Z15027,1062,977,85
Z15028,76,73,3
Z15030,598,496,102
Z15031,342,318,24
Z15033,2655,1934,721
Z15034,986,885,101
Z15035,1178,1020,158
Z15037,5018,4625,393
Z15038,130,130,0
Z15042,3684,3447,237
Z15043,948,799,149
Z15044,10824,10256,568
Z15045,2318,1989,329
Z15046,1098,1026,72
Z15047,23,23,0
Z15049,468,440,28
Z15050,955,914,41
Z15051,171,171,0
Z15052,1582,1448,134
Z15053,68,48,20
Z15054,196,196,0
Z15055,746,695,51
Z15056,596,519,77
Z15057,5974,5608,366
Z15059,1787,1535,252
Z15060,316,285,31
Z15061,5764,5160,604
Z15062,4545,3571,974
Z15063,5194,4512,682
Z15064,168,160,8
Z15065,5577,4884,693
Z15066,5889,5413,476
Z15067,1104,973,131
Z15068,18704,16583,2121
Z15071,4647,4354,293
Z15072,102,102,0
Z15074,4292,3827,465
Z15075,90,90,0
Z15076,433,433,0
Z15077,73,62,11
Z15078,277,174,103
Z15081,239,218,21
Z15082,59,59,0
Z15083,487,404,83
Z15084,4948,4394,554
Z15085,3767,3337,430
Z15086,169,152,17
Z15087,133,92,41
Z15088,261,220,41
Z15089,2953,2647,306
Z15090,8790,8366,424
Z15101,10504,9886,618
Z15102,12750,12242,508
Z15104,5019,3800,1219
Z15106,9608,8904,704
Z15108,18271,17118,1153
Z15110,2988,2311,677
Z15112,1878,1516,362
Z15116,6181,5970,211
Z15120,9580,8324,1256
Z15122,9680,8651,1029
Z15126,3123,2908,215
Z15129,4669,4391,278
Z15131,4173,3921,252
Z15132,11934,9572,2362
Z15133,3153,2889,264
Z15135,2393,2242,151
Z15136,10664,9409,1255
Z15137,5082,4492,590
Z15139,3256,3095,161
Z15140,1884,1554,330
Z15142,558,543,15
Z15143,8373,7716,657
Z15144,2094,1889,205
Z15145,3922,3270,652
Z15146,13552,12532,1020
Z15147,8937,8245,692
Z15148,1556,1161,395
Z15201,6985,6253,732
Z15202,10843,9516,1327
Z15203,6286,4821,1465
Z15204,4088,3677,411
Z15205,10885,10198,687
Z15206,15371,13501,1870
Z15207,5911,5037,874
Z15208,5298,4382,916
Z15209,6094,5536,558
Z15210,13129,11074,2055
Z15211,6715,5489,1226
Z15212,16057,12790,3267
Z15213,11138,9286,1852
Z15214,7152,6142,1010
Z15215,6096,5525,571
Z15216,11564,10548,1016
Z15217,12866,11953,913
Z15218,7762,6818,944
Z15219,6480,5201,1279
Z15220,8874,8013,861
Z15221,18459,15367,3092
Z15222,2219,1956,263
Z15223,3430,3124,306
Z15224,5858,5206,652
Z15225,614,581,33
Z15226,6775,6153,622
Z15227,13047,12143,904
Z15228,7738,7339,399
Z15229,6635,6267,368
Z15232,7046,6257,789
Z15233,1606,1161,445
Z15234,6811,6439,372
Z15235,16327,14806,1521
Z15236,13191,12277,914
Z15237,18853,18001,852
Z15238,5834,5373,461
Z15239,8851,8546,305
Z15241,7768,7477,291
Z15243,5851,5713,138
Z15260,0,0,0
Z15290,0,0,0
Z15301,22166,20162,2004
Z15310,187,137,50
Z15311,601,581,20
Z15312,1544,1397,147
Z15313,176,145,31
Z15314,1830,1622,208
Z15315,422,353,69
Z15316,45,42,3
Z15317,16001,14819,1182
Z15320,2506,2229,277
Z15321,657,657,0
Z15322,1036,894,142
Z15323,1904,1745,159
Z15324,326,288,38
Z15325,170,170,0
Z15327,628,559,69
Z15329,636,540,96
Z15330,2348,2085,263
Z15331,391,321,70
Z15332,3828,3562,266
Z15333,1042,935,107
Z15334,62,62,0
Z15337,310,242,68
Z15338,765,642,123
Z15340,680,604,76
Z15341,390,319,71
Z15342,2444,2054,390
Z15344,727,681,46
Z15345,754,647,107
Z15346,285,237,48
Z15347,219,219,0
Z15348,147,131,16
Z15349,892,794,98
Z15350,213,189,24
Z15351,489,489,0
Z15352,419,327,92
Z15353,21,10,11
Z15357,725,692,33
Z15358,471,397,74
Z15359,63,62,1
Z15360,760,680,80
Z15361,20,20,0
Z15362,380,352,28
Z15363,354,354,0
Z15364,365,312,53
Z15366,91,91,0
Z15367,2994,2948,46
Z15368,133,118,15
Z15370,5306,4657,649
Z15376,710,627,83
Z15377,316,265,51
Z15378,66,38,28
Z15379,56,49,7
Z15380,400,253,147
Z15401,15413,13688,1725
Z15410,341,341,0
Z15411,619,325,294
Z15412,227,173,54
Z15413,313,291,22
Z15417,4357,3551,806
Z15419,2374,1847,527
Z15420,144,123,21
Z15421,91,12,79
Z15422,86,65,21
Z15423,906,856,50
Z15424,1685,895,790
Z15425,8786,7954,832
Z15427,517,473,44
Z15428,833,730,103
Z15429,78,78,0
Z15430,125,109,16
Z15431,1956,1778,178
Z15432,204,184,20
Z15433,421,374,47
Z15434,150,113,37
Z15435,253,221,32
Z15436,1118,1015,103
Z15437,1199,828,371
Z15438,917,751,166
Z15440,237,191,46
Z15442,772,701,71
Z15443,144,95,49
Z15444,303,182,121
Z15445,1216,1031,185
Z15446,148,148,0
Z15447,97,17,80
Z15448,73,73,0
Z15449,172,149,23
Z15450,65,65,0
Z15451,443,391,52
Z15454,63,63,0
Z15455,174,113,61
Z15456,1272,1053,219
Z15458,1157,1018,139
Z15459,810,607,203
Z15460,39,39,0
Z15461,1700,1517,183
Z15462,206,147,59
Z15463,0,0,0
Z15464,742,614,128
Z15466,216,203,13
Z15467,73,63,10
Z15468,1047,936,111
Z15469,941,864,77
Z15470,595,332,263
Z15472,139,110,29
Z15473,1968,1737,231
Z15474,1009,782,227
Z15475,520,380,140
Z15476,80,45,35
Z15477,427,351,76
Z15478,2786,2513,273
Z15479,925,859,66
Z15480,830,726,104
Z15482,231,175,56
Z15483,221,198,23
Z15484,131,91,40
Z15486,978,904,74
Z15489,173,154,19
Z15490,351,351,0
Z15492,89,74,15
Z15501,7750,6449,1301
Z15502,764,48,716
Z15510,0,0,0
Z15520,150,108,42
Z15521,817,734,83
Z15522,5840,4934,906
Z15530,2295,2059,236
Z15531,2067,1655,412
Z15532,76,76,0
Z15533,786,606,180
Z15534,470,376,94
Z15535,1231,832,399
Z15536,264,187,77
Z15537,3795,3201,594
Z15538,619,303,316
Z15539,248,248,0
Z15540,247,94,153
Z15541,1680,1413,267
Z15542,478,435,43
Z15544,88,88,0
Z15545,1350,1176,174
Z15546,135,135,0
Z15547,223,187,36
Z15550,1021,715,306
Z15551,448,357,91
Z15552,2713,2221,492
Z15554,1179,1044,135
Z15555,62,51,11
Z15557,2088,1397,691
Z15558,972,871,101
Z15559,1032,845,187
Z15560,86,68,18
Z15561,66,66,0
Z15562,65,59,6
Z15563,1530,1200,330
Z15564,39,31,8
Z15601,27033,24523,2510
Z15610,1777,1487,290
Z15611,288,187,101
Z15612,128,128,0
Z15613,6203,5866,337
Z15615,101,101,0
Z15616,22,22,0
Z15617,145,138,7
Z15618,1204,1120,84
Z15620,398,398,0
Z15621,35,35,0
Z15622,2156,652,1504
Z15623,332,299,33
Z15624,240,192,48
Z15625,57,57,0
Z15626,2601,2337,264
Z15627,3031,2691,340
Z15628,343,228,115
Z15629,384,349,35
Z15631,528,458,70
Z15632,3944,3618,326
Z15633,98,98,0
Z15634,253,204,49
Z15635,154,113,41
Z15636,1477,1465,12
Z15637,770,729,41
Z15638,178,178,0
Z15639,1042,946,96
Z15640,208,194,14
Z15641,218,210,8
Z15642,19258,18077,1181
Z15644,8972,8124,848
Z15646,128,83,45
Z15647,122,57,65
Z15650,12742,11295,1447
Z15655,265,159,106
Z15656,4713,4309,404
Z15658,4934,3986,948
Z15660,177,161,16
Z15661,308,250,58
Z15662,79,79,0
Z15663,209,201,8
Z15665,583,578,5
Z15666,7530,6981,549
Z15668,5553,5323,230
Z15670,1647,1573,74
Z15671,389,324,65
Z15672,1621,1583,38
Z15673,590,546,44
Z15675,447,425,22
Z15676,154,154,0
Z15677,244,180,64
Z15678,177,163,14
Z15679,1423,1295,128
Z15680,52,52,0
Z15681,2171,1972,199
Z15683,3821,3483,338
Z15684,344,278,66
Z15686,464,378,86
Z15687,569,473,96
Z15688,348,348,0
Z15689,161,153,8
Z15690,4492,3819,673
Z15691,44,44,0
Z15692,458,458,0
Z15693,104,59,45
Z15695,147,134,13
Z15696,184,164,20
Z15697,1493,1351,142
Z15698,341,341,0
Z15701,15206,13471,1735
Z15710,129,110,19
Z15711,232,187,45
Z15712,76,60,16
Z15713,92,92,0
Z15714,2302,2074,228
Z15715,266,235,31
Z15716,311,260,51
Z15717,5090,4326,764
Z15721,101,81,20
Z15722,1088,1009,79
Z15723,17,17,0
Z15724,1008,854,154
Z15725,633,579,54
Z15727,89,81,8
Z15728,1631,1434,197
Z15729,690,635,55
Z15730,29,21,8
Z15731,286,245,41
Z15732,724,673,51
Z15733,51,48,3
Z15734,109,109,0
Z15736,344,325,19
Z15737,52,43,9
Z15738,117,104,13
Z15739,186,148,38
Z15741,42,31,11
Z15742,421,362,59
Z15744,70,52,18
Z15745,122,99,23
Z15746,49,45,4
Z15747,817,754,63
Z15748,2996,2746,250
Z15750,215,133,82
Z15752,28,28,0
Z15753,305,214,91
Z15754,166,166,0
Z15756,112,94,18
Z15757,962,634,328
Z15759,1194,1047,147
Z15760,59,43,16
Z15761,57,43,14
Z15762,350,339,11
Z15764,86,74,12
Z15765,772,690,82
Z15767,6626,5792,834
Z15770,66,58,8
Z15771,427,341,86
Z15772,706,575,131
Z15773,214,185,29
Z15774,1304,1277,27
Z15775,315,287,28
Z15776,31,25,6
Z15777,65,65,0
Z15778,71,58,13
Z15779,145,95,50
Z15780,60,52,8
Z15781,27,27,0
Z15783,54,50,4
Z15784,31,28,3
Z15801,9441,8068,1373
Z15821,493,58,435
Z15823,736,649,87
Z15824,2479,2204,275
Z15825,4670,3897,773
Z15827,96,67,29
Z15828,564,148,416
Z15829,654,492,162
Z15832,801,147,654
Z15834,2931,1936,995
Z15840,903,827,76
Z15841,165,149,16
Z15845,1613,1433,180
Z15846,1598,1342,256
Z15847,116,87,29
Z15848,431,363,68
Z15849,919,502,417
Z15851,3163,2806,357
Z15853,3668,2801,867
Z15856,498,368,130
Z15857,6118,5430,688
Z15860,1767,495,1272
Z15861,527,57,470
Z15863,92,87,5
Z15864,855,731,124
Z15865,692,603,89
Z15866,80,74,6
Z15868,1099,583,516
Z15870,1143,560,583
Z15901,2765,2149,616
Z15902,6485,5272,1213
Z15904,6885,6407,478
Z15905,10126,9023,1103
Z15906,6048,5176,872
Z15909,2606,2237,369
Z15920,381,338,43
Z15921,90,73,17
Z15922,68,68,0
Z15923,731,611,120
Z15924,491,456,35
Z15925,65,64,1
Z15926,1603,1062,541
Z15927,475,429,46
Z15928,1081,989,92
Z15929,53,53,0
Z15930,69,55,14
Z15931,4023,3645,378
Z15934,128,86,42
Z15935,1127,1039,88
Z15936,726,625,101
Z15937,315,315,0
Z15938,1035,966,69
Z15940,651,529,122
Z15942,919,871,48
Z15943,1835,1607,228
Z15944,1607,1342,265
Z15945,66,66,0
Z15946,3105,2789,316
Z15948,306,265,41
Z15949,265,248,17
Z15951,203,168,35
Z15952,558,558,0
Z15953,81,81,0
Z15954,1078,979,99
Z15955,1241,1110,131
Z15956,1240,1098,142
Z15957,285,263,22
Z15958,905,838,67
Z15960,276,245,31
Z15961,401,323,78
Z15962,61,61,0
Z15963,5362,4610,752
Z16001,19021,17721,1300
Z16002,6308,6016,292
Z16020,495,443,52
Z16022,189,153,36
Z16023,2005,1927,78
Z16024,85,81,4
Z16025,2285,2117,168
Z16027,102,97,5
Z16028,1130,886,244
Z16029,321,307,14
Z16030,144,140,4
Z16033,2677,2450,227
Z16034,764,715,49
Z16035,52,43,9
Z16036,127,106,21
Z16037,1782,1747,35
Z16038,1554,1427,127
Z16040,424,371,53
Z16041,936,805,131
Z16045,642,553,89
Z16046,6240,5833,407
Z16048,74,74,0
Z16049,1705,1313,392
Z16050,656,632,24
Z16051,1384,1323,61
Z16052,1057,1004,53
Z16053,1756,1674,82
Z16054,191,165,26
Z16055,3501,3300,201
Z16056,2214,2048,166
Z16057,5497,4745,752
Z16059,3268,3130,138
Z16061,1163,1053,110
Z16063,3251,3117,134
Z16066,11174,10742,432
Z16101,15585,13635,1950
Z16102,2749,2380,369
Z16105,7072,6584,488
Z16110,173,128,45
Z16111,480,455,25
Z16112,715,652,63
Z16113,155,142,13
Z16114,271,242,29
Z16115,1433,1316,117
Z16116,1268,1118,150
Z16117,7777,7107,670
Z16120,974,792,182
Z16121,2643,2041,602
Z16123,1032,835,197
Z16124,847,757,90
Z16125,7838,7156,682
Z16127,6017,5418,599
Z16130,907,818,89
Z16131,372,282,90
Z16132,114,114,0
Z16133,642,600,42
Z16134,2786,1690,1096
Z16136,378,332,46
Z16137,4918,4442,476
Z16140,29,29,0
Z16141,848,772,76
Z16142,2272,2133,139
Z16143,1433,1425,8
Z16145,1241,1064,177
Z16146,7421,5995,1426
Z16148,7989,7135,854
Z16150,3413,3012,401
Z16151,39,37,2
Z16153,1205,1070,135
Z16154,1265,1197,68
Z16155,67,25,42
Z16156,1244,1116,128
Z16157,1582,1397,185
Z16159,1945,1749,196
Z16160,434,434,0
Z16161,412,395,17
Z16201,8781,7919,862
Z16210,590,405,185
Z16211,56,56,0
Z16212,151,137,14
Z16213,71,67,4
Z16214,4651,3888,763
Z16217,195,42,153
Z16218,581,447,134
Z16222,1017,864,153
Z16223,92,69,23
Z16224,571,517,54
Z16226,4002,3423,579
Z16228,202,197,5
Z16229,2289,2055,234
Z16230,187,167,20
Z16232,1921,1698,223
Z16233,1156,432,724
Z16235,585,500,85
Z16236,133,87,46
Z16238,186,171,15
Z16239,2505,666,1839
Z16240,766,612,154
Z16242,2130,1937,193
Z16244,93,75,18
Z16245,97,92,5
Z16246,111,99,12
Z16248,1456,1294,162
Z16249,870,818,52
Z16250,119,112,7
Z16253,42,37,5
Z16254,1561,1404,157
Z16255,788,653,135
Z16256,635,522,113
Z16258,1230,886,344
Z16259,1053,775,278
Z16260,300,150,150
Z16262,1187,1061,126
Z16263,154,148,6
Z16301,7958,6541,1417
Z16311,360,248,112
Z16312,11,3,8
Z16313,1388,729,659
Z16314,2601,2095,506
Z16316,4013,2398,1615
Z16317,713,605,108
Z16319,565,481,84
Z16321,104,42,62
Z16322,162,67,95
Z16323,7692,6798,894
Z16326,181,169,12
Z16327,1374,1188,186
Z16328,43,38,5
Z16329,397,221,176
Z16331,34,27,7
Z16332,38,26,12
Z16333,196,118,78
Z16334,110,105,5
Z16335,13092,11556,1536
Z16340,1417,827,590
Z16341,1129,774,355
Z16342,1144,860,284
Z16343,193,146,47
Z16344,251,203,48
Z16345,1845,1488,357
Z16346,1628,1467,161
Z16347,1718,897,821
Z16350,1179,1052,127
Z16351,2590,704,1886
Z16352,135,102,33
Z16353,5004,1245,3759
Z16354,5292,4566,726
Z16360,623,541,82
Z16361,57,50,7
Z16362,599,497,102
Z16364,609,482,127
Z16365,9211,7929,1282
Z16370,540,112,428
Z16371,1596,1359,237
Z16372,217,190,27
Z16373,1789,1316,473
Z16374,1796,816,980
Z16401,1983,1745,238
Z16402,344,316,28
Z16403,2630,2220,410
Z16404,1555,1227,328
Z16405,322,285,37
Z16406,1512,1312,200
Z16407,4872,4305,567
Z16410,670,625,45
Z16411,734,596,138
Z16412,4837,4295,542
Z16415,3488,3281,207
Z16416,91,91,0
Z16417,3277,3096,181
Z16420,429,248,181
Z16421,987,987,0
Z16422,100,85,15
Z16423,1905,1704,201
Z16424,3847,1974,1873
Z16426,1627,1568,59
Z16427,94,89,5
Z16428,5245,4960,285
Z16433,2307,2029,278
Z16434,1062,929,133
Z16435,896,714,182
Z16436,491,234,257
Z16438,4217,3141,1076
Z16440,479,392,87
Z16441,4131,3812,319
Z16442,1189,1077,112
Z16443,509,509,0
Z16444,0,0,0
Z16501,1425,1311,114
Z16502,8088,7071,1017
Z16503,7132,5889,1243
Z16504,7183,6641,542
Z16505,8187,7486,701
Z16506,10151,9755,396
Z16507,4744,4077,667
Z16508,7464,6939,525
Z16509,12515,11931,584
Z16510,10400,9742,658
Z16511,5113,4652,461
Z16546,0,0,0
Z16563,0,0,0
Z16601,14994,13427,1567
Z16602,13368,12257,1111
Z16611,1144,1020,124
Z16613,648,586,62
Z16616,37,37,0
Z16617,1347,1189,158
Z16619,142,124,18
Z16620,149,123,26
Z16621,393,301,92
Z16622,86,69,17
Z16623,294,188,106
Z16624,96,83,13
Z16625,1914,1515,399
Z16627,1115,884,231
Z16630,1995,1852,143
Z16631,28,28,0
Z16633,76,58,18
Z16634,157,116,41
Z16635,5257,4950,307
Z16636,345,291,54
Z16637,1108,1017,91
Z16638,27,18,9
Z16639,791,607,184
Z16640,597,355,242
Z16641,1204,1061,143
Z16645,63,63,0
Z16646,1113,1011,102
Z16647,631,314,317
Z16648,6572,6103,469
Z16650,1040,787,253
Z16651,1828,1524,304
Z16652,7238,5838,1400
Z16655,702,634,68
Z16656,630,508,122
Z16657,1032,541,491
Z16659,140,124,16
Z16661,443,349,94
Z16662,2600,2387,213
Z16664,785,703,82
Z16665,136,121,15
Z16666,1533,1187,346
Z16667,545,528,17
Z16668,1680,1509,171
Z16669,1368,916,452
Z16670,28,28,0
Z16671,244,194,50
Z16672,125,103,22
Z16673,2297,2134,163
Z16674,406,271,135
Z16677,163,115,48
Z16678,1364,1125,239
Z16679,387,347,40
Z16680,244,175,69
Z16682,47,47,0
Z16683,239,174,65
Z16685,218,72,146
Z16686,5815,5179,636
Z16689,212,180,32
Z16691,167,124,43
Z16692,344,268,76
Z16693,1749,1548,201
Z16694,89,75,14
Z16695,401,383,18
Z16699,0,0,0
Z16701,8330,7376,954
Z16720,2225,497,1728
Z16724,64,52,12
Z16725,102,53,49
Z16726,260,210,50
Z16727,74,69,5
Z16728,27,19,8
Z16729,380,335,45
Z16730,56,42,14
Z16731,1323,1175,148
Z16732,189,168,21
Z16733,135,103,32
Z16734,124,90,34
Z16735,3816,2732,1084
Z16738,830,570,260
Z16740,630,458,172
Z16743,1948,1699,249
Z16744,147,147,0
Z16745,237,219,18
Z16746,740,523,217
Z16748,1587,1081,506
Z16749,2180,1589,591
Z16750,215,168,47
Z16801,19162,17192,1970
Z16802,9,9,0
Z16803,11296,10289,1007
Z16820,478,374,104
Z16821,80,80,0
Z16822,1193,802,391
Z16823,11778,10884,894
Z16825,104,104,0
Z16826,287,216,71
Z16827,1837,1629,208
Z16828,2129,1974,155
Z16829,413,259,154
Z16830,6765,5966,799
Z16832,371,196,175
Z16833,2532,2220,312
Z16834,133,65,68
Z16835,85,80,5
Z16836,1067,461,606
Z16837,94,49,45
Z16838,878,735,143
Z16839,276,216,60
Z16840,234,234,0
Z16841,2681,2215,466
Z16843,244,244,0
Z16844,1245,1118,127
Z16845,484,303,181
Z16847,154,154,0
Z16848,193,162,31
Z16849,160,146,14
Z16851,310,310,0
Z16852,137,118,19
Z16853,149,113,36
Z16854,446,356,90
Z16855,157,131,26
Z16858,1727,1499,228
Z16859,281,200,81
Z16860,201,189,12
Z16861,155,110,45
Z16863,363,287,76
Z16865,847,813,34
Z16866,4360,3848,512
Z16868,191,152,39
Z16870,2743,2459,284
Z16871,119,20,99
Z16872,659,433,226
Z16874,653,557,96
Z16875,1876,1624,252
Z16876,140,131,9
Z16877,767,720,47
Z16878,988,833,155
Z16879,135,106,29
Z16881,962,825,137
Z16882,275,140,135
Z16901,5124,4218,906
Z16911,199,165,34
Z16912,884,719,165
Z16914,1136,784,352
Z16915,3653,2261,1392
Z16917,723,500,223
Z16920,913,864,49
Z16921,690,221,469
Z16922,2080,788,1292
Z16923,854,600,254
Z16925,1513,1213,300
Z16926,402,312,90
Z16927,303,262,41
Z16928,638,523,115
Z16929,1084,962,122
Z16930,654,487,167
Z16932,320,265,55
Z16933,3182,2684,498
Z16935,759,541,218
Z16936,965,754,211
Z16937,108,95,13
Z16938,844,295,549
Z16939,188,169,19
Z16940,143,131,12
Z16941,38,35,3
Z16942,392,300,92
Z16943,417,205,212
Z16946,1164,979,185
Z16947,2407,1873,534
Z16948,1090,598,492
Z16950,2013,1426,587
Z17002,259,238,21
Z17003,4345,4164,181
Z17004,1781,1655,126
Z17005,183,159,24
Z17006,618,377,241
Z17007,2247,2156,91
Z17009,909,833,76
Z17010,74,40,34
Z17011,14398,13658,740
Z17013,14889,13880,1009
Z17015,8378,8088,290
Z17016,341,284,57
Z17017,800,730,70
Z17018,1866,1697,169
Z17019,7324,6938,386
Z17020,4004,3675,329
Z17021,664,400,264
Z17022,11412,10800,612
Z17023,1488,1361,127
Z17024,807,729,78
Z17025,7099,6804,295
Z17026,1455,1375,80
Z17027,213,192,21
Z17028,1442,1391,51
Z17029,155,155,0
Z17030,372,340,32
Z17032,3566,3227,339
Z17033,6929,6528,401
Z17034,1192,1060,132
Z17035,512,335,177
Z17036,9578,8852,726
Z17037,614,335,279
Z17038,3377,3131,246
Z17039,5,5,0
Z17040,1108,963,145
Z17041,38,38,0
Z17042,15521,14560,961
Z17043,3260,2934,326
Z17044,10201,9013,1188
Z17045,1464,1266,198
Z17046,12740,11696,1044
Z17047,1031,932,99
Z17048,1711,1432,279
Z17049,1287,1128,159
Z17050,14935,14262,673
Z17051,2278,1858,420
Z17052,847,617,230
Z17053,2211,2107,104
Z17055,15867,15202,665
Z17056,50,37,13
Z17057,9720,8950,770
Z17058,907,714,193
Z17059,3238,2937,301
Z17060,559,498,61
Z17061,3301,2952,349
Z17062,1766,1512,254
Z17063,1833,1277,556
Z17064,606,278,328
Z17065,1709,1616,93
Z17066,2706,2358,348
Z17067,5571,5274,297
Z17068,1730,1634,96
Z17069,72,61,11
Z17070,7286,6715,571
Z17071,166,71,95
Z17072,18,18,0
Z17073,1965,1934,31
Z17074,3310,2884,426
Z17075,61,53,8
Z17076,34,34,0
Z17077,46,34,12
Z17078,9158,8738,420
Z17080,114,104,10
Z17081,203,155,48
Z17082,1661,1431,230
Z17083,20,15,5
Z17084,1825,1692,133
Z17086,964,853,111
Z17087,1099,1051,48
Z17088,364,343,21
Z17090,2350,2238,112
Z17093,384,384,0
Z17094,1156,1078,78
Z17097,409,365,44
Z17098,1190,961,229
Z17099,534,480,54
